Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
178932,20in Monitor,1,109.99,04/04/19 12:53,"330 Johnson St, Dallas, TX 75001"
178933,iPhone,1,700.0,04/11/19 21:07,"805 Maple St, New York City, NY 10001"
178934,Bose SoundSport Headphones,1,99.99,04/30/19 15:01,"14 Meadow St, Atlanta, GA 30301"
178935,27in FHD Monitor,1,149.99,04/01/19 20:49,"588 2nd St, Los Angeles, CA 90001"
178936,Wired Headphones,1,11.99,04/01/19 13:36,"783 Sunset St, New York City, NY 10001"
178937,Lightning Charging Cable,1,14.95,04/09/19 15:05,"497 1st St, Los Angeles, CA 90001"
178938,34in Ultrawide Monitor,1,379.99,04/11/19 18:33,"514 Washington St, New York City, NY 10001"
178939,Lightning Charging Cable,1,14.95,04/08/19 14:10,"267 Jackson St, New York City, NY 10001"
178940,Flatscreen TV,1,300.0,04/05/19 07:27,"814 Dogwood St, San Francisco, CA 94016"
178941,Bose SoundSport Headphones,1,99.99,04/28/19 22:01,"318 14th St, New York City, NY 10001"
178942,27in 4K Gaming Monitor,1,389.99,04/11/19 04:40,"923 Elm St, Seattle, WA 98101"
178943,USB-C Charging Cable,1,11.95,04/23/19 22:05,"525 14th St, San Francisco, CA 94016"
178944,27in FHD Monitor,1,149.99,04/18/19 18:41,"158 Washington St, Los Angeles, CA 90001"
178945,Bose SoundSport Headphones,1,99.99,04/23/19 16:50,"820 1st St, Atlanta, GA 30301"
178946,Macbook Pro Laptop,1,1700.0,04/20/19 19:27,"352 Maple St, San Francisco, CA 94016"
178947,USB-C Charging Cable,1,11.95,04/03/19 22:48,"928 Lake St, San Francisco, CA 94016"
178948,Apple Airpods Headphones,1,150.0,04/26/19 10:38,"885 Walnut St, Portland, OR 97035"
178949,34in Ultrawide Monitor,1,379.99,04/26/19 14:42,"383 South St, San Francisco, CA 94016"
178950,AA Batteries (4-pack),1,3.84,04/02/19 21:26,"327 Cedar St, Dallas, TX 75001"
178951,Lightning Charging Cable,1,14.95,04/28/19 10:49,"74 Church St, Los Angeles, CA 90001"
178952,Macbook Pro Laptop,1,1700.0,04/22/19 01:25,"392 Adams St, Portland, OR 97035"
178953,27in 4K Gaming Monitor,1,389.99,04/16/19 14:16,"235 6th St, Dallas, TX 75001"
178954,Wired Headphones,1,11.99,04/15/19 16:47,"858 Lincoln St, Austin, TX 73301"
178955,Apple Airpods Headphones,1,150.0,04/21/19 22:26,"428 Ridge St, San Francisco, CA 94016"
178956,Apple Airpods Headphones,1,150.0,04/02/19 12:27,"941 North St, Dallas, TX 75001"
178957,USB-C Charging Cable,1,11.95,04/28/19 12:46,"823 Lincoln St, Atlanta, GA 30301"
178958,USB-C Charging Cable,1,11.95,04/06/19 17:04,"43 Highland St, Atlanta, GA 30301"
178959,Lightning Charging Cable,1,14.95,04/02/19 19:56,"839 Highland St, Portland, ME 04101"
178960,Lightning Charging Cable,1,14.95,04/30/19 21:28,"253 Main St, Portland, OR 97035"
178961,Macbook Pro Laptop,1,1700.0,04/10/19 08:18,"442 8th St, Boston, MA 02215"
178962,iPhone,1,700.0,04/12/19 14:17,"185 5th St, New York City, NY 10001"
178963,27in FHD Monitor,2,149.99,04/01/19 11:40,"547 9th St, Atlanta, GA 30301"
178964,Apple Airpods Headphones,1,150.0,04/21/19 22:35,"556 Willow St, San Francisco, CA 94016"
178965,Lightning Charging Cable,1,14.95,04/12/19 22:54,"171 Cedar St, Seattle, WA 98101"
178966,Wired Headphones,1,11.99,04/08/19 10:26,"770 Sunset St, San Francisco, CA 94016"
178967,Apple Airpods Headphones,1,150.0,04/30/19 07:40,"107 Park St, Seattle, WA 98101"
178968,Lightning Charging Cable,1,14.95,04/05/19 19:49,"508 River St, San Francisco, CA 94016"
178969,USB-C Charging Cable,1,11.95,04/28/19 17:25,"393 Lake St, Los Angeles, CA 90001"
178970,USB-C Charging Cable,1,11.95,04/30/19 23:06,"524 North St, Boston, MA 02215"
178971,Wired Headphones,1,11.99,04/21/19 17:20,"910 12th St, Los Angeles, CA 90001"
178972,AA Batteries (4-pack),1,3.84,04/04/19 11:34,"368 2nd St, San Francisco, CA 94016"
178973,ThinkPad Laptop,1,999.99,04/07/19 08:20,"260 13th St, New York City, NY 10001"
178974,AAA Batteries (4-pack),1,2.99,04/28/19 20:23,"36 8th St, Boston, MA 02215"
178975,Vareebadd Phone,1,400.0,04/21/19 15:28,"867 Church St, Atlanta, GA 30301"
178976,USB-C Charging Cable,1,11.95,04/26/19 11:36,"831 Madison St, San Francisco, CA 94016"
178977,Apple Airpods Headphones,1,150.0,04/15/19 18:34,"722 Walnut St, Boston, MA 02215"
