Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
227847,Lightning Charging Cable,1,14.95,08/31/19 00:47,"350 14th St, Boston, MA 02215"
227848,Bose SoundSport Headphones,1,99.99,08/04/19 09:05,"109 Cherry St, Los Angeles, CA 90001"
227849,Apple Airpods Headphones,1,150.0,08/17/19 12:02,"741 North St, San Francisco, CA 94016"
227850,iPhone,1,700.0,08/13/19 09:42,"161 Pine St, Dallas, TX 75001"
227851,USB-C Charging Cable,1,11.95,08/15/19 19:54,"788 2nd St, Atlanta, GA 30301"
227852,Apple Airpods Headphones,1,150.0,08/05/19 15:47,"392 Dogwood St, Los Angeles, CA 90001"
227853,Wired Headphones,1,11.99,08/20/19 17:27,"925 Adams St, Boston, MA 02215"
227854,Macbook Pro Laptop,1,1700.0,08/08/19 15:42,"23 Forest St, San Francisco, CA 94016"
227855,USB-C Charging Cable,1,11.95,08/31/19 21:27,"598 Hickory St, Portland, OR 97035"
227856,Google Phone,1,600.0,08/06/19 01:27,"532 Lincoln St, New York City, NY 10001"
227857,iPhone,1,700.0,08/15/19 15:06,"349 Chestnut St, New York City, NY 10001"
227858,34in Ultrawide Monitor,1,379.99,08/13/19 22:24,"149 6th St, San Francisco, CA 94016"
227859,27in FHD Monitor,1,149.99,08/08/19 19:21,"328 6th St, Los Angeles, CA 90001"
227860,Lightning Charging Cable,1,14.95,08/11/19 07:12,"284 Washington St, Boston, MA 02215"
227861,Apple Airpods Headphones,1,150.0,08/08/19 20:46,"466 2nd St, Los Angeles, CA 90001"
227862,AA Batteries (4-pack),1,3.84,08/13/19 21:56,"194 Pine St, Boston, MA 02215"
227863,Bose SoundSport Headphones,1,99.99,08/13/19 06:51,"165 Lake St, Seattle, WA 98101"
227864,AAA Batteries (4-pack),3,2.99,08/04/19 13:24,"62 Sunset St, New York City, NY 10001"
227865,Macbook Pro Laptop,1,1700.0,08/17/19 23:06,"789 Walnut St, Los Angeles, CA 90001"
227866,AA Batteries (4-pack),1,3.84,08/26/19 15:16,"763 5th St, San Francisco, CA 94016"
227867,Apple Airpods Headphones,1,150.0,08/02/19 09:52,"829 Lakeview St, Atlanta, GA 30301"
227868,AA Batteries (4-pack),1,3.84,08/04/19 13:16,"648 Lake St, Boston, MA 02215"
227869,Apple Airpods Headphones,1,150.0,08/14/19 21:10,"996 Wilson St, Los Angeles, CA 90001"
227870,Google Phone,1,600.0,08/27/19 11:52,"271 Lakeview St, Austin, TX 73301"
227871,AAA Batteries (4-pack),1,2.99,08/08/19 14:31,"533 Jefferson St, New York City, NY 10001"
227872,Lightning Charging Cable,1,14.95,08/28/19 22:47,"325 West St, Seattle, WA 98101"
