Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
285444,Flatscreen TV,1,300,12/21/19 23:04,"733 Wilson St, Atlanta, GA 30301"
285445,27in FHD Monitor,1,149.99,12/11/19 21:06,"659 1st St, Los Angeles, CA 90001"
285446,USB-C Charging Cable,1,11.95,12/25/19 21:46,"66 Pine St, Los Angeles, CA 90001"
285447,USB-C Charging Cable,2,11.95,12/24/19 12:56,"483 Pine St, Boston, MA 02215"
285448,ThinkPad Laptop,1,999.99,12/05/19 15:57,"929 12th St, New York City, NY 10001"
285449,AAA Batteries (4-pack),1,2.99,12/27/19 14:34,"384 Hill St, San Francisco, CA 94016"
285450,Wired Headphones,1,11.99,12/23/19 17:14,"783 Highland St, Los Angeles, CA 90001"
285451,Bose SoundSport Headphones,1,99.99,12/29/19 18:48,"43 Ridge St, New York City, NY 10001"
285452,27in 4K Gaming Monitor,1,389.99,12/09/19 23:02,"77 Walnut St, Boston, MA 02215"
285453,Apple Airpods Headphones,1,150,12/21/19 12:29,"870 North St, Dallas, TX 75001"
285454,AA Batteries (4-pack),2,3.84,12/02/19 19:20,"676 14th St, Dallas, TX 75001"
285455,34in Ultrawide Monitor,1,379.99,12/25/19 12:06,"294 Ridge St, New York City, NY 10001"
285456,USB-C Charging Cable,1,11.95,12/04/19 01:26,"617 Chestnut St, Dallas, TX 75001"
285457,Macbook Pro Laptop,1,1700,12/28/19 20:25,"594 Spruce St, Dallas, TX 75001"
285458,Apple Airpods Headphones,1,150,12/18/19 04:15,"924 11th St, Atlanta, GA 30301"
285459,34in Ultrawide Monitor,1,379.99,12/06/19 11:15,"636 Wilson St, San Francisco, CA 94016"
,,,,,
285460,Bose SoundSport Headphones,1,99.99,12/30/19 18:42,"142 Spruce St, Los Angeles, CA 90001"
285461,USB-C Charging Cable,1,11.95,12/29/19 14:50,"330 6th St, Atlanta, GA 30301"
285462,USB-C Charging Cable,1,11.95,12/30/19 10:20,"417 Johnson St, San Francisco, CA 94016"
285463,USB-C Charging Cable,1,11.95,12/20/19 16:50,"767 Elm St, Los Angeles, CA 90001"
285464,Lightning Charging Cable,1,14.95,12/31/19 18:43,"326 9th St, New York City, NY 10001"
285465,AA Batteries (4-pack),1,3.84,12/12/19 22:21,"372 Madison St, New York City, NY 10001"
285466,Google Phone,1,600,12/27/19 17:56,"249 Hill St, Seattle, WA 98101"
285466,USB-C Charging Cable,1,11.95,12/27/19 17:56,"249 Hill St, Seattle, WA 98101"
285466,Wired Headphones,1,11.99,12/27/19 17:56,"249 Hill St, Seattle, WA 98101"
285467,AAA Batteries (4-pack),2,2.99,12/06/19 09:30,"910 Spruce St, San Francisco, CA 94016"
285467,USB-C Charging Cable,1,11.95,12/06/19 09:30,"910 Spruce St, San Francisco, CA 94016"
285468,27in FHD Monitor,1,149.99,12/10/19 12:17,"464 West St, Boston, MA 02215"
285469,Bose SoundSport Headphones,1,99.99,12/17/19 22:54,"451 Center St, San Francisco, CA 94016"
285470,Wired Headphones,1,11.99,12/13/19 19:00,"273 Lincoln St, San Francisco, CA 94016"
285471,Macbook Pro Laptop,1,1700,12/13/19 09:29,"869 Walnut St, Atlanta, GA 30301"
285472,USB-C Charging Cable,1,11.95,12/02/19 15:47,"335 4th St, Seattle, WA 98101"
