Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
150549,Flatscreen TV,1,300,02/10/19 16:34,"897 2nd St, Los Angeles, CA 90001"
150550,27in 4K Gaming Monitor,1,389.99,02/14/19 16:19,"292 Jackson St, Los Angeles, CA 90001"
150551,AAA Batteries (4-pack),1,2.99,02/12/19 11:16,"421 Lincoln St, San Francisco, CA 94016"
150552,Bose SoundSport Headphones,1,99.99,02/21/19 10:55,"496 Chestnut St, Boston, MA 02215"
150553,USB-C Charging Cable,1,11.95,02/21/19 18:09,"35 7th St, San Francisco, CA 94016"
150554,ThinkPad Laptop,1,999.99,02/16/19 11:29,"698 5th St, Seattle, WA 98101"
150555,AA Batteries (4-pack),2,3.84,02/21/19 20:19,"352 Hickory St, Seattle, WA 98101"
150556,Vareebadd Phone,1,400,02/18/19 23:56,"899 7th St, San Francisco, CA 94016"
150557,Wired Headphones,1,11.99,02/05/19 12:02,"547 Meadow St, Los Angeles, CA 90001"
150558,USB-C Charging Cable,1,11.95,02/08/19 11:39,"826 Johnson St, Seattle, WA 98101"
150559,Flatscreen TV,1,300,02/25/19 10:35,"723 Lakeview St, San Francisco, CA 94016"
150560,USB-C Charging Cable,1,11.95,02/15/19 18:23,"155 Center St, Dallas, TX 75001"
150561,iPhone,1,700,02/14/19 14:08,"91 Willow St, Portland, OR 97035"
150562,AA Batteries (4-pack),1,3.84,02/20/19 11:15,"850 Sunset St, Dallas, TX 75001"
150563,Apple Airpods Headphones,1,150,02/20/19 22:37,"456 Center St, Los Angeles, CA 90001"
150564,34in Ultrawide Monitor,1,379.99,02/23/19 20:54,"133 Ridge St, New York City, NY 10001"
150565,Apple Airpods Headphones,1,150,02/28/19 22:53,"481 Walnut St, San Francisco, CA 94016"
150566,20in Monitor,1,109.99,02/23/19 11:18,"301 8th St, San Francisco, CA 94016"
150567,USB-C Charging Cable,2,11.95,02/24/19 01:36,"152 Willow St, Boston, MA 02215"
150568,USB-C Charging Cable,1,11.95,02/22/19 12:59,"639 Willow St, New York City, NY 10001"
150569,Lightning Charging Cable,1,14.95,02/05/19 14:26,"754 Center St, Boston, MA 02215"
150570,AAA Batteries (4-pack),1,2.99,02/26/19 13:15,"705 Hickory St, Boston, MA 02215"
150571,Bose SoundSport Headphones,1,99.99,02/28/19 08:16,"742 Washington St, San Francisco, CA 94016"
150572,34in Ultrawide Monitor,1,379.99,02/01/19 15:49,"884 Forest St, Austin, TX 73301"
150573,USB-C Charging Cable,1,11.95,02/08/19 22:23,"690 Church St, Boston, MA 02215"
150574,Lightning Charging Cable,1,14.95,02/17/19 19:59,"789 Church St, Boston, MA 02215"
150575,27in FHD Monitor,1,149.99,02/03/19 21:58,"985 South St, Seattle, WA 98101"
150576,USB-C Charging Cable,1,11.95,02/04/19 13:42,"362 Hill St, Atlanta, GA 30301"
150577,Google Phone,1,600,02/28/19 19:04,"380 Park St, Seattle, WA 98101"
150577,USB-C Charging Cable,1,11.95,02/28/19 19:04,"380 Park St, Seattle, WA 98101"
150578,Apple Airpods Headphones,1,150,02/21/19 21:52,"55 2nd St, San Francisco, CA 94016"
150579,USB-C Charging Cable,1,11.95,02/01/19 09:39,"953 7th St, New York City, NY 10001"
150580,AA Batteries (4-pack),1,3.84,02/03/19 20:12,"533 Jackson St, Boston, MA 02215"
150581,Bose SoundSport Headphones,1,99.99,02/10/19 19:10,"183 Jackson St, Los Angeles, CA 90001"
150582,Apple Airpods Headphones,1,150,02/22/19 21:54,"821 South St, San Francisco, CA 94016"
150583,Apple Airpods Headphones,1,150,02/12/19 08:55,"581 South St, San Francisco, CA 94016"
150584,34in Ultrawide Monitor,1,379.99,02/01/19 17:11,"651 Jackson St, New York City, NY 10001"
150585,USB-C Charging Cable,2,11.95,02/21/19 11:22,"585 13th St, Los Angeles, CA 90001"
150586,20in Monitor,1,109.99,02/21/19 13:42,"612 Pine St, Los Angeles, CA 90001"
150587,Bose SoundSport Headphones,1,99.99,02/10/19 21:58,"527 14th St, San Francisco, CA 94016"
150588,AAA Batteries (4-pack),1,2.99,02/13/19 07:47,"294 Elm St, San Francisco, CA 94016"
150589,AA Batteries (4-pack),3,3.84,02/06/19 21:37,"702 Walnut St, Seattle, WA 98101"
150590,Wired Headphones,1,11.99,02/13/19 13:43,"471 Hickory St, Los Angeles, CA 90001"
150591,34in Ultrawide Monitor,1,379.99,02/05/19 21:04,"861 Main St, Atlanta, GA 30301"
150592,Google Phone,1,600,02/16/19 17:17,"773 9th St, San Francisco, CA 94016"
150593,Lightning Charging Cable,1,14.95,02/01/19 23:11,"413 Madison St, Atlanta, GA 30301"
150594,AA Batteries (4-pack),1,3.84,02/28/19 07:21,"857 Wilson St, San Francisco, CA 94016"
150594,34in Ultrawide Monitor,1,379.99,02/28/19 07:21,"857 Wilson St, San Francisco, CA 94016"
150595,Flatscreen TV,1,300,02/08/19 13:23,"997 Wilson St, Dallas, TX 75001"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
150596,34in Ultrawide Monitor,1,379.99,02/05/19 17:56,"723 14th St, San Francisco, CA 94016"
150597,Flatscreen TV,1,300,02/20/19 23:38,"436 1st St, Boston, MA 02215"
150598,Bose SoundSport Headphones,1,99.99,02/06/19 22:16,"894 Dogwood St, Los Angeles, CA 90001"
150599,AAA Batteries (4-pack),1,2.99,02/19/19 23:15,"500 Walnut St, Atlanta, GA 30301"
150600,AAA Batteries (4-pack),2,2.99,02/13/19 12:19,"461 Dogwood St, San Francisco, CA 94016"
150601,Lightning Charging Cable,2,14.95,02/27/19 07:45,"157 7th St, New York City, NY 10001"
150602,iPhone,1,700,02/07/19 18:32,"684 Chestnut St, Dallas, TX 75001"
150602,Lightning Charging Cable,1,14.95,02/07/19 18:32,"684 Chestnut St, Dallas, TX 75001"
150603,Wired Headphones,2,11.99,02/05/19 19:18,"69 4th St, Los Angeles, CA 90001"
150604,Wired Headphones,1,11.99,02/08/19 19:24,"52 Hill St, Atlanta, GA 30301"
150605,AA Batteries (4-pack),1,3.84,02/15/19 08:15,"175 Church St, San Francisco, CA 94016"
150606,Lightning Charging Cable,1,14.95,02/15/19 13:06,"955 Sunset St, San Francisco, CA 94016"
150607,AAA Batteries (4-pack),2,2.99,02/12/19 14:21,"888 Jackson St, Austin, TX 73301"
150608,Bose SoundSport Headphones,1,99.99,02/24/19 09:08,"893 Forest St, San Francisco, CA 94016"
150609,ThinkPad Laptop,1,999.99,02/20/19 15:18,"848 Elm St, New York City, NY 10001"
150610,Google Phone,1,600,02/23/19 02:00,"127 Park St, Atlanta, GA 30301"
150611,AAA Batteries (4-pack),2,2.99,02/19/19 10:18,"123 Walnut St, San Francisco, CA 94016"
150612,Bose SoundSport Headphones,1,99.99,02/07/19 09:36,"318 Highland St, Atlanta, GA 30301"
150613,Flatscreen TV,1,300,02/26/19 11:44,"718 4th St, Los Angeles, CA 90001"
150614,USB-C Charging Cable,1,11.95,02/26/19 15:04,"772 10th St, Seattle, WA 98101"
150615,Wired Headphones,1,11.99,02/10/19 21:02,"262 4th St, Dallas, TX 75001"
150616,iPhone,1,700,02/07/19 23:18,"758 7th St, Boston, MA 02215"
150617,Apple Airpods Headphones,1,150,02/08/19 16:46,"58 Jefferson St, San Francisco, CA 94016"
150618,USB-C Charging Cable,1,11.95,02/27/19 13:13,"306 Hickory St, San Francisco, CA 94016"
150619,AA Batteries (4-pack),2,3.84,02/14/19 16:44,"554 Johnson St, Portland, ME 04101"
150620,27in 4K Gaming Monitor,1,389.99,02/28/19 09:18,"747 7th St, Los Angeles, CA 90001"
150621,USB-C Charging Cable,1,11.95,02/08/19 13:13,"213 Jefferson St, Seattle, WA 98101"
150622,AA Batteries (4-pack),1,3.84,02/05/19 13:13,"357 Cherry St, Boston, MA 02215"
150623,USB-C Charging Cable,1,11.95,02/10/19 19:46,"346 Lincoln St, Boston, MA 02215"
150624,AA Batteries (4-pack),1,3.84,02/12/19 20:19,"473 7th St, Boston, MA 02215"
150625,Wired Headphones,1,11.99,02/17/19 18:33,"868 1st St, Boston, MA 02215"
150626,LG Dryer,1,600.0,02/19/19 14:57,"289 Jackson St, Seattle, WA 98101"
150627,AA Batteries (4-pack),2,3.84,02/24/19 00:30,"152 Forest St, Dallas, TX 75001"
150628,27in FHD Monitor,1,149.99,02/08/19 09:31,"311 Adams St, San Francisco, CA 94016"
150629,iPhone,1,700,02/21/19 16:29,"888 Maple St, Boston, MA 02215"
150629,Apple Airpods Headphones,1,150,02/21/19 16:29,"888 Maple St, Boston, MA 02215"
150630,Lightning Charging Cable,1,14.95,02/05/19 16:00,"735 Willow St, San Francisco, CA 94016"
,,,,,
150631,AAA Batteries (4-pack),1,2.99,02/10/19 06:27,"914 Washington St, Seattle, WA 98101"
150632,AA Batteries (4-pack),1,3.84,02/22/19 12:28,"755 North St, New York City, NY 10001"
150633,Lightning Charging Cable,1,14.95,02/11/19 13:24,"689 6th St, Seattle, WA 98101"
150634,Lightning Charging Cable,1,14.95,02/01/19 11:28,"918 7th St, Los Angeles, CA 90001"
150635,Bose SoundSport Headphones,1,99.99,02/27/19 14:35,"823 Maple St, San Francisco, CA 94016"
150636,Lightning Charging Cable,1,14.95,02/15/19 13:46,"568 Johnson St, Atlanta, GA 30301"
150637,Apple Airpods Headphones,1,150,02/16/19 17:41,"181 Forest St, San Francisco, CA 94016"
150638,Lightning Charging Cable,1,14.95,02/21/19 09:34,"420 4th St, San Francisco, CA 94016"
150639,USB-C Charging Cable,1,11.95,02/01/19 18:47,"982 Maple St, Atlanta, GA 30301"
150640,Wired Headphones,1,11.99,02/02/19 18:33,"203 Madison St, Boston, MA 02215"
150641,USB-C Charging Cable,1,11.95,02/25/19 21:22,"164 Jackson St, San Francisco, CA 94016"
150642,AAA Batteries (4-pack),2,2.99,02/10/19 17:56,"618 Center St, San Francisco, CA 94016"
150643,Bose SoundSport Headphones,1,99.99,02/07/19 22:28,"323 Lincoln St, Atlanta, GA 30301"
150644,Lightning Charging Cable,1,14.95,02/15/19 21:01,"840 Jackson St, Atlanta, GA 30301"
150645,Bose SoundSport Headphones,1,99.99,02/22/19 18:04,"713 Main St, San Francisco, CA 94016"
150646,USB-C Charging Cable,1,11.95,02/13/19 18:11,"826 Meadow St, Austin, TX 73301"
150647,Apple Airpods Headphones,1,150,02/20/19 11:12,"798 Lake St, Boston, MA 02215"
150648,AA Batteries (4-pack),1,3.84,02/19/19 14:36,"836 West St, New York City, NY 10001"
150649,27in 4K Gaming Monitor,1,389.99,02/15/19 18:38,"996 7th St, Los Angeles, CA 90001"
