Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Lightning Charging Cable,1,14.95,01/19/19 10:13,"231 6th St, Atlanta, GA 30301"
141235,USB-C Charging Cable,1,11.95,01/15/19 14:10,"148 Meadow St, Boston, MA 02215"
141236,Lightning Charging Cable,1,14.95,01/20/19 11:21,"850 Walnut St, San Francisco, CA 94016"
141237,USB-C Charging Cable,2,11.95,01/15/19 00:11,"479 11th St, San Francisco, CA 94016"
141238,Lightning Charging Cable,1,14.95,01/06/19 10:05,"654 5th St, Dallas, TX 75001"
141239,20in Monitor,1,109.99,01/25/19 09:57,"826 4th St, New York City, NY 10001"
141240,AA Batteries (4-pack),1,3.84,01/12/19 20:39,"343 Pine St, Dallas, TX 75001"
141241,Lightning Charging Cable,1,14.95,01/31/19 15:19,"556 Highland St, Los Angeles, CA 90001"
141242,AAA Batteries (4-pack),1,2.99,01/04/19 01:19,"892 8th St, Atlanta, GA 30301"
141243,ThinkPad Laptop,1,999.99,01/21/19 11:23,"232 Hickory St, Boston, MA 02215"
141244,Bose SoundSport Headphones,1,99.99,01/14/19 21:10,"308 Meadow St, New York City, NY 10001"
141245,iPhone,1,700.0,01/28/19 16:26,"7 Maple St, Atlanta, GA 30301"
141245,Lightning Charging Cable,3,14.95,01/28/19 16:26,"7 Maple St, Atlanta, GA 30301"
141246,AAA Batteries (4-pack),2,2.99,01/31/19 10:53,"190 Main St, Dallas, TX 75001"
141247,Wired Headphones,2,11.99,01/07/19 07:33,"856 Church St, San Francisco, CA 94016"
141248,Wired Headphones,1,11.99,01/19/19 11:00,"105 Highland St, New York City, NY 10001"
141249,AA Batteries (4-pack),1,3.84,01/31/19 18:06,"771 Maple St, San Francisco, CA 94016"
141250,Lightning Charging Cable,1,14.95,01/06/19 13:52,"462 Church St, Austin, TX 73301"
141251,AA Batteries (4-pack),3,3.84,01/21/19 15:47,"266 Cherry St, San Francisco, CA 94016"
141252,Lightning Charging Cable,1,14.95,01/21/19 09:50,"834 5th St, Los Angeles, CA 90001"
141253,27in FHD Monitor,1,149.99,01/12/19 10:46,"487 5th St, Los Angeles, CA 90001"
141254,USB-C Charging Cable,1,11.95,01/21/19 20:10,"965 North St, San Francisco, CA 94016"
141255,AAA Batteries (4-pack),1,2.99,01/29/19 13:34,"163 Jackson St, Los Angeles, CA 90001"
141256,AAA Batteries (4-pack),2,2.99,01/09/19 18:41,"851 Jefferson St, Atlanta, GA 30301"
141257,AAA Batteries (4-pack),2,2.99,01/21/19 20:33,"572 Wilson St, Atlanta, GA 30301"
141258,Bose SoundSport Headphones,1,99.99,01/21/19 19:32,"562 Forest St, Austin, TX 73301"
141259,Lightning Charging Cable,1,14.95,01/24/19 11:28,"671 Maple St, San Francisco, CA 94016"
141260,Google Phone,1,600.0,01/28/19 11:40,"977 Spruce St, Portland, OR 97035"
141261,Google Phone,1,600.0,01/11/19 17:21,"985 Dogwood St, San Francisco, CA 94016"
141261,iPhone,1,700.0,01/11/19 17:21,"985 Dogwood St, San Francisco, CA 94016"
141262,27in FHD Monitor,1,149.99,01/28/19 18:57,"744 Sunset St, Atlanta, GA 30301"
141263,20in Monitor,1,109.99,01/09/19 23:16,"197 South St, Portland, ME 04101"
141264,AAA Batteries (4-pack),1,2.99,01/25/19 20:36,"744 10th St, Portland, OR 97035"
141265,AA Batteries (4-pack),1,3.84,01/11/19 14:26,"824 Sunset St, Boston, MA 02215"
141266,Flatscreen TV,1,300.0,01/04/19 18:48,"272 River St, New York City, NY 10001"
141267,USB-C Charging Cable,1,11.95,01/09/19 21:06,"895 Meadow St, New York City, NY 10001"
141268,AAA Batteries (4-pack),1,2.99,01/10/19 06:14,"532 6th St, Atlanta, GA 30301"
141269,Macbook Pro Laptop,1,1700.0,01/05/19 10:46,"594 Center St, New York City, NY 10001"
141270,Macbook Pro Laptop,1,1700.0,01/24/19 18:28,"342 Main St, Portland, OR 97035"
141271,USB-C Charging Cable,1,11.95,01/21/19 19:10,"295 Cherry St, Portland, OR 97035"
141272,AA Batteries (4-pack),2,3.84,01/15/19 20:55,"186 Lake St, Portland, OR 97035"
141273,AAA Batteries (4-pack),1,2.99,01/14/19 07:21,"942 Center St, Boston, MA 02215"
141274,Bose SoundSport Headphones,1,99.99,01/27/19 11:13,"528 Jackson St, Los Angeles, CA 90001"
141275,Apple Airpods Headphones,1,150.0,01/17/19 14:49,"631 West St, New York City, NY 10001"
141276,USB-C Charging Cable,1,11.95,01/01/19 19:37,"407 Meadow St, Dallas, TX 75001"
141277,USB-C Charging Cable,1,11.95,01/01/19 11:06,"56 South St, Los Angeles, CA 90001"
141278,Lightning Charging Cable,1,14.95,01/25/19 08:27,"559 Jefferson St, Atlanta, GA 30301"
141279,Wired Headphones,1,11.99,01/22/19 20:07,"604 Main St, Los Angeles, CA 90001"
141280,Bose SoundSport Headphones,1,99.99,01/10/19 17:15,"697 West St, Atlanta, GA 30301"
141281,AA Batteries (4-pack),2,3.84,01/26/19 18:54,"708 Elm St, Seattle, WA 98101"
141282,Lightning Charging Cable,1,14.95,01/01/19 17:16,"399 14th St, Boston, MA 02215"
141283,USB-C Charging Cable,1,11.95,01/16/19 19:26,"241 14th St, Seattle, WA 98101"
141284,Wired Headphones,1,11.99,01/22/19 08:38,"571 Elm St, Los Angeles, CA 90001"
141285,27in 4K Gaming Monitor,1,389.99,01/30/19 15:52,"712 Cedar St, Portland, OR 97035"
141286,USB-C Charging Cable,1,11.95,01/04/19 17:58,"462 14th St, Los Angeles, CA 90001"
141287,AA Batteries (4-pack),1,3.84,01/15/19 20:27,"210 13th St, San Francisco, CA 94016"
