Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
219434,Lightning Charging Cable,1,14.95,07/09/19 12:03,"917 Hickory St, Dallas, TX 75001"
219435,Macbook Pro Laptop,1,1700.0,07/12/19 15:17,"496 Park St, San Francisco, CA 94016"
219436,USB-C Charging Cable,1,11.95,07/23/19 19:28,"413 Elm St, Dallas, TX 75001"
219437,AAA Batteries (4-pack),1,2.99,07/29/19 04:47,"628 8th St, New York City, NY 10001"
219438,AAA Batteries (4-pack),1,2.99,07/18/19 09:59,"36 Sunset St, Austin, TX 73301"
219439,Macbook Pro Laptop,1,1700.0,07/01/19 14:00,"991 Sunset St, New York City, NY 10001"
219440,Bose SoundSport Headphones,2,99.99,07/20/19 12:07,"174 Park St, New York City, NY 10001"
219441,Lightning Charging Cable,1,14.95,07/27/19 18:32,"335 8th St, Los Angeles, CA 90001"
219442,USB-C Charging Cable,2,11.95,07/23/19 11:12,"9 North St, Dallas, TX 75001"
219443,Wired Headphones,2,11.99,07/13/19 15:18,"904 Meadow St, Portland, OR 97035"
219444,AA Batteries (4-pack),3,3.84,07/04/19 22:26,"146 11th St, Los Angeles, CA 90001"
219445,Bose SoundSport Headphones,1,99.99,07/15/19 12:11,"849 Madison St, Portland, OR 97035"
219446,Vareebadd Phone,1,400.0,07/30/19 20:24,"934 6th St, Seattle, WA 98101"
219447,34in Ultrawide Monitor,1,379.99,07/09/19 17:21,"340 West St, Los Angeles, CA 90001"
219448,Apple Airpods Headphones,1,150.0,07/12/19 20:19,"510 Washington St, San Francisco, CA 94016"
219449,27in FHD Monitor,1,149.99,07/22/19 22:39,"54 Dogwood St, Los Angeles, CA 90001"
219450,Flatscreen TV,1,300.0,07/23/19 17:22,"926 13th St, Atlanta, GA 30301"
219451,34in Ultrawide Monitor,1,379.99,07/18/19 19:37,"49 Maple St, New York City, NY 10001"
219452,Lightning Charging Cable,1,14.95,07/23/19 19:46,"244 Highland St, Atlanta, GA 30301"
219453,ThinkPad Laptop,1,999.99,07/15/19 19:05,"281 5th St, Los Angeles, CA 90001"
219454,Lightning Charging Cable,1,14.95,07/30/19 10:27,"252 Walnut St, New York City, NY 10001"
219455,Flatscreen TV,1,300.0,07/15/19 10:51,"811 Lincoln St, Los Angeles, CA 90001"
219456,Apple Airpods Headphones,1,150.0,07/25/19 20:15,"848 Jefferson St, Seattle, WA 98101"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
219457,Apple Airpods Headphones,1,150,07/13/19 18:34,"843 Johnson St, Los Angeles, CA 90001"
219458,USB-C Charging Cable,1,11.95,07/16/19 10:51,"557 Ridge St, Austin, TX 73301"
219459,27in 4K Gaming Monitor,1,389.99,07/03/19 11:36,"598 Pine St, Los Angeles, CA 90001"
219460,AA Batteries (4-pack),1,3.84,07/17/19 14:29,"588 Church St, San Francisco, CA 94016"
219461,AA Batteries (4-pack),1,3.84,07/17/19 17:50,"541 Dogwood St, San Francisco, CA 94016"
219462,Wired Headphones,1,11.99,07/23/19 12:16,"499 South St, Austin, TX 73301"
219463,ThinkPad Laptop,1,999.99,07/07/19 06:24,"411 Park St, San Francisco, CA 94016"
219464,iPhone,1,700,07/22/19 13:16,"314 Willow St, Atlanta, GA 30301"
219464,Wired Headphones,1,11.99,07/22/19 13:16,"314 Willow St, Atlanta, GA 30301"
219465,27in FHD Monitor,1,149.99,07/03/19 17:23,"256 Jefferson St, Los Angeles, CA 90001"
219466,iPhone,1,700,07/23/19 19:38,"257 5th St, Portland, OR 97035"
219467,34in Ultrawide Monitor,1,379.99,07/27/19 11:18,"239 Johnson St, San Francisco, CA 94016"
219468,Bose SoundSport Headphones,1,99.99,07/21/19 17:51,"948 Lakeview St, Seattle, WA 98101"
219469,AAA Batteries (4-pack),2,2.99,07/12/19 11:29,"456 Lincoln St, Los Angeles, CA 90001"
219470,Bose SoundSport Headphones,1,99.99,07/03/19 14:08,"86 Adams St, Los Angeles, CA 90001"
219471,USB-C Charging Cable,1,11.95,07/27/19 15:21,"652 Park St, Los Angeles, CA 90001"
219472,Wired Headphones,1,11.99,07/28/19 00:20,"989 Park St, San Francisco, CA 94016"
219473,AAA Batteries (4-pack),2,2.99,07/03/19 20:11,"509 Ridge St, Atlanta, GA 30301"
219474,Flatscreen TV,1,300,07/07/19 16:56,"571 Meadow St, Dallas, TX 75001"
219475,iPhone,1,700,07/22/19 19:44,"75 11th St, Los Angeles, CA 90001"
219476,USB-C Charging Cable,1,11.95,07/02/19 09:40,"698 Lincoln St, New York City, NY 10001"
219477,27in 4K Gaming Monitor,1,389.99,07/05/19 19:18,"530 11th St, San Francisco, CA 94016"
219478,20in Monitor,2,109.99,07/13/19 18:27,"848 14th St, San Francisco, CA 94016"
219479,Bose SoundSport Headphones,1,99.99,07/10/19 20:05,"841 10th St, Boston, MA 02215"
219480,34in Ultrawide Monitor,1,379.99,07/19/19 11:08,"531 Forest St, Boston, MA 02215"
219481,Wired Headphones,1,11.99,07/05/19 10:01,"72 12th St, New York City, NY 10001"
219482,Lightning Charging Cable,1,14.95,07/31/19 09:02,"625 Jefferson St, New York City, NY 10001"
219483,34in Ultrawide Monitor,1,379.99,07/07/19 20:40,"431 4th St, Portland, OR 97035"
219484,Macbook Pro Laptop,1,1700,07/27/19 15:54,"991 Lincoln St, San Francisco, CA 94016"
219485,AA Batteries (4-pack),1,3.84,07/27/19 19:28,"630 Willow St, San Francisco, CA 94016"
219486,AA Batteries (4-pack),1,3.84,07/12/19 18:53,"677 Lakeview St, San Francisco, CA 94016"
219487,USB-C Charging Cable,2,11.95,07/29/19 00:35,"430 South St, Los Angeles, CA 90001"
219488,27in 4K Gaming Monitor,1,389.99,07/10/19 07:29,"460 14th St, Atlanta, GA 30301"
219489,USB-C Charging Cable,1,11.95,07/20/19 15:39,"735 Highland St, Los Angeles, CA 90001"
219490,USB-C Charging Cable,1,11.95,07/11/19 01:56,"918 6th St, Dallas, TX 75001"
219491,Apple Airpods Headphones,1,150,07/23/19 19:58,"542 11th St, Boston, MA 02215"
219492,Lightning Charging Cable,1,14.95,07/04/19 18:26,"7 Lake St, Portland, ME 04101"
219492,34in Ultrawide Monitor,1,379.99,07/04/19 18:26,"7 Lake St, Portland, ME 04101"
219493,Google Phone,1,600,07/14/19 13:24,"128 Dogwood St, San Francisco, CA 94016"
219494,AA Batteries (4-pack),1,3.84,07/25/19 19:13,"527 Forest St, New York City, NY 10001"
219495,Apple Airpods Headphones,1,150,07/31/19 19:39,"318 Johnson St, Atlanta, GA 30301"
219496,AA Batteries (4-pack),1,3.84,07/18/19 14:54,"799 Wilson St, Atlanta, GA 30301"
219497,Bose SoundSport Headphones,1,99.99,07/02/19 15:03,"729 Wilson St, San Francisco, CA 94016"
219498,Apple Airpods Headphones,1,150,07/09/19 10:26,"488 North St, Los Angeles, CA 90001"
219499,Flatscreen TV,1,300,07/20/19 05:21,"883 Willow St, Dallas, TX 75001"
219500,USB-C Charging Cable,1,11.95,07/04/19 04:36,"2 Hill St, San Francisco, CA 94016"
219501,34in Ultrawide Monitor,1,379.99,07/23/19 08:50,"499 Walnut St, Boston, MA 02215"
219502,Apple Airpods Headphones,1,150,07/10/19 10:55,"543 Adams St, Atlanta, GA 30301"
219503,Lightning Charging Cable,1,14.95,07/12/19 09:56,"536 Cherry St, Dallas, TX 75001"
219504,USB-C Charging Cable,1,11.95,07/18/19 07:45,"780 Dogwood St, San Francisco, CA 94016"
