Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
204773,Lightning Charging Cable,1,14.95,06/11/19 21:18,"783 11th St, San Francisco, CA 94016"
204774,Lightning Charging Cable,1,14.95,06/21/19 08:58,"837 West St, San Francisco, CA 94016"
204775,Bose SoundSport Headphones,1,99.99,06/02/19 12:42,"881 Lakeview St, Boston, MA 02215"
204776,Apple Airpods Headphones,1,150.0,06/20/19 06:13,"900 Willow St, New York City, NY 10001"
204777,Bose SoundSport Headphones,1,99.99,06/26/19 12:26,"706 Jackson St, Los Angeles, CA 90001"
204778,Wired Headphones,1,11.99,06/10/19 13:18,"321 6th St, Seattle, WA 98101"
204779,AAA Batteries (4-pack),2,2.99,06/17/19 19:12,"516 4th St, New York City, NY 10001"
204780,USB-C Charging Cable,1,11.95,06/02/19 13:36,"186 Dogwood St, San Francisco, CA 94016"
204781,Bose SoundSport Headphones,1,99.99,06/14/19 17:18,"530 10th St, New York City, NY 10001"
204782,Wired Headphones,1,11.99,06/04/19 19:53,"6 Maple St, Seattle, WA 98101"
204783,Macbook Pro Laptop,1,1700.0,06/30/19 21:07,"706 12th St, San Francisco, CA 94016"
204784,Apple Airpods Headphones,1,150.0,06/30/19 17:18,"126 2nd St, Portland, ME 04101"
204785,Apple Airpods Headphones,1,150.0,06/08/19 13:54,"932 14th St, San Francisco, CA 94016"
204786,AA Batteries (4-pack),1,3.84,06/26/19 01:48,"157 Highland St, Portland, ME 04101"
204787,20in Monitor,1,109.99,06/11/19 09:21,"71 5th St, San Francisco, CA 94016"
204788,USB-C Charging Cable,1,11.95,06/07/19 20:25,"189 Madison St, Austin, TX 73301"
204789,Wired Headphones,1,11.99,06/22/19 15:07,"137 South St, New York City, NY 10001"
204790,AAA Batteries (4-pack),1,2.99,06/25/19 12:59,"76 River St, Portland, OR 97035"
204791,Bose SoundSport Headphones,1,99.99,06/09/19 13:18,"549 Lakeview St, Portland, ME 04101"
204792,20in Monitor,1,109.99,06/10/19 18:02,"501 Washington St, Los Angeles, CA 90001"
204793,AAA Batteries (4-pack),4,2.99,06/13/19 06:03,"639 Spruce St, Dallas, TX 75001"
204794,Flatscreen TV,1,300.0,06/15/19 13:07,"30 Meadow St, New York City, NY 10001"
204795,Bose SoundSport Headphones,1,99.99,06/14/19 11:51,"990 11th St, Dallas, TX 75001"
204796,Apple Airpods Headphones,1,150.0,06/14/19 11:38,"34 Lakeview St, Boston, MA 02215"
204797,iPhone,1,700.0,06/20/19 14:48,"154 Lincoln St, Boston, MA 02215"
204798,AA Batteries (4-pack),2,3.84,06/09/19 23:07,"184 Park St, Portland, OR 97035"
204799,Wired Headphones,1,11.99,06/18/19 00:59,"866 River St, Dallas, TX 75001"
204800,Lightning Charging Cable,1,14.95,06/09/19 11:51,"766 Jefferson St, Seattle, WA 98101"
204801,USB-C Charging Cable,1,11.95,06/13/19 15:59,"113 Chestnut St, Dallas, TX 75001"
204802,Apple Airpods Headphones,1,150.0,06/01/19 07:57,"226 Johnson St, Portland, OR 97035"
204803,Apple Airpods Headphones,1,150.0,06/21/19 21:13,"561 Maple St, Seattle, WA 98101"
204804,Wired Headphones,1,11.99,06/12/19 18:32,"241 Jackson St, Atlanta, GA 30301"
204805,USB-C Charging Cable,1,11.95,06/27/19 16:05,"386 Wilson St, Atlanta, GA 30301"
204806,Google Phone,1,600.0,06/27/19 17:39,"598 River St, San Francisco, CA 94016"
204806,USB-C Charging Cable,1,11.95,06/27/19 17:39,"598 River St, San Francisco, CA 94016"
204806,Wired Headphones,1,11.99,06/27/19 17:39,"598 River St, San Francisco, CA 94016"
204807,AAA Batteries (4-pack),1,2.99,06/19/19 12:27,"348 2nd St, New York City, NY 10001"
204808,AA Batteries (4-pack),1,3.84,06/15/19 08:34,"385 Adams St, Los Angeles, CA 90001"
204809,Lightning Charging Cable,1,14.95,06/05/19 15:13,"168 Cherry St, Boston, MA 02215"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
204810,USB-C Charging Cable,1,11.95,06/02/19 10:16,"695 Spruce St, San Francisco, CA 94016"
204811,USB-C Charging Cable,1,11.95,06/11/19 23:59,"255 Jefferson St, Boston, MA 02215"
204812,USB-C Charging Cable,1,11.95,06/20/19 16:35,"698 Cedar St, Boston, MA 02215"
204813,ThinkPad Laptop,1,999.99,06/03/19 15:43,"735 10th St, San Francisco, CA 94016"
204814,Lightning Charging Cable,1,14.95,06/17/19 13:01,"94 11th St, San Francisco, CA 94016"
204815,Lightning Charging Cable,1,14.95,06/04/19 13:19,"654 6th St, Los Angeles, CA 90001"
204816,Wired Headphones,1,11.99,06/12/19 13:24,"376 Hickory St, New York City, NY 10001"
204817,27in FHD Monitor,1,149.99,06/07/19 22:05,"413 8th St, Atlanta, GA 30301"
204818,AAA Batteries (4-pack),1,2.99,06/30/19 19:28,"680 11th St, Austin, TX 73301"
204819,USB-C Charging Cable,2,11.95,06/06/19 18:28,"371 Lincoln St, Dallas, TX 75001"
204820,27in 4K Gaming Monitor,1,389.99,06/11/19 17:44,"337 Johnson St, San Francisco, CA 94016"
204821,Lightning Charging Cable,1,14.95,06/14/19 14:51,"890 Lakeview St, Seattle, WA 98101"
204822,Bose SoundSport Headphones,1,99.99,06/03/19 09:20,"118 Cedar St, Los Angeles, CA 90001"
204823,AA Batteries (4-pack),1,3.84,06/17/19 07:28,"661 Lake St, Austin, TX 73301"
204824,USB-C Charging Cable,1,11.95,06/27/19 09:03,"492 Dogwood St, Dallas, TX 75001"
204825,34in Ultrawide Monitor,1,379.99,06/20/19 11:38,"477 Pine St, Atlanta, GA 30301"
204826,AAA Batteries (4-pack),3,2.99,06/04/19 13:43,"500 8th St, New York City, NY 10001"
204827,Bose SoundSport Headphones,1,99.99,06/08/19 17:07,"824 2nd St, San Francisco, CA 94016"
204828,Flatscreen TV,1,300,06/08/19 06:43,"222 Sunset St, San Francisco, CA 94016"
204829,Apple Airpods Headphones,1,150,06/27/19 02:00,"946 10th St, Dallas, TX 75001"
204830,Bose SoundSport Headphones,1,99.99,06/25/19 13:29,"463 8th St, San Francisco, CA 94016"
204831,AAA Batteries (4-pack),2,2.99,06/09/19 17:27,"941 8th St, San Francisco, CA 94016"
204832,USB-C Charging Cable,1,11.95,06/07/19 13:16,"518 Willow St, Atlanta, GA 30301"
204833,AA Batteries (4-pack),5,3.84,06/30/19 21:17,"192 Walnut St, Atlanta, GA 30301"
204834,Apple Airpods Headphones,1,150,06/26/19 10:27,"457 Lakeview St, Los Angeles, CA 90001"
204835,AAA Batteries (4-pack),1,2.99,06/24/19 18:14,"242 9th St, Los Angeles, CA 90001"
204836,USB-C Charging Cable,1,11.95,06/16/19 12:16,"414 Lakeview St, Los Angeles, CA 90001"
204837,Flatscreen TV,1,300,06/10/19 14:40,"273 West St, Los Angeles, CA 90001"
204838,Apple Airpods Headphones,1,150,06/17/19 21:29,"228 Sunset St, Portland, OR 97035"
204839,Apple Airpods Headphones,1,150,06/21/19 11:16,"517 Jackson St, Boston, MA 02215"
204840,Wired Headphones,1,11.99,06/09/19 16:12,"362 Johnson St, Los Angeles, CA 90001"
204841,AA Batteries (4-pack),1,3.84,06/01/19 09:55,"999 Main St, Dallas, TX 75001"
204842,Google Phone,1,600,06/29/19 19:41,"248 West St, Los Angeles, CA 90001"
204843,Apple Airpods Headphones,1,150,06/19/19 21:22,"578 2nd St, San Francisco, CA 94016"
204844,AA Batteries (4-pack),1,3.84,06/22/19 16:47,"856 South St, Los Angeles, CA 90001"
204845,AA Batteries (4-pack),1,3.84,06/10/19 22:08,"985 River St, Seattle, WA 98101"
204846,AAA Batteries (4-pack),1,2.99,06/07/19 15:05,"917 West St, Boston, MA 02215"
204847,27in FHD Monitor,1,149.99,06/07/19 12:43,"381 Lakeview St, Los Angeles, CA 90001"
204848,USB-C Charging Cable,1,11.95,06/10/19 23:56,"498 River St, San Francisco, CA 94016"
204849,USB-C Charging Cable,1,11.95,06/05/19 13:14,"309 Jefferson St, Austin, TX 73301"
204850,Google Phone,1,600,06/18/19 21:26,"309 Spruce St, New York City, NY 10001"
204851,Wired Headphones,1,11.99,06/07/19 20:59,"665 Willow St, Portland, OR 97035"
204852,Lightning Charging Cable,1,14.95,06/14/19 13:17,"117 North St, San Francisco, CA 94016"
204853,Google Phone,1,600,06/12/19 17:05,"665 Chestnut St, San Francisco, CA 94016"
204854,AAA Batteries (4-pack),4,2.99,06/20/19 14:06,"484 Lincoln St, San Francisco, CA 94016"
