Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
161954,Macbook Pro Laptop,1,1700,03/04/19 08:02,"114 4th St, Portland, ME 04101"
161955,AAA Batteries (4-pack),1,2.99,03/17/19 19:03,"274 Jackson St, Boston, MA 02215"
161956,USB-C Charging Cable,1,11.95,03/12/19 11:38,"830 11th St, Los Angeles, CA 90001"
161957,Lightning Charging Cable,1,14.95,03/24/19 15:39,"16 Jackson St, Dallas, TX 75001"
161958,Apple Airpods Headphones,1,150,03/27/19 05:14,"304 Church St, Los Angeles, CA 90001"
161959,AA Batteries (4-pack),1,3.84,03/31/19 21:27,"818 Madison St, New York City, NY 10001"
161960,AA Batteries (4-pack),1,3.84,03/24/19 20:47,"698 10th St, San Francisco, CA 94016"
161961,Bose SoundSport Headphones,1,99.99,03/21/19 20:56,"489 10th St, Los Angeles, CA 90001"
161962,Bose SoundSport Headphones,1,99.99,03/10/19 09:18,"187 River St, New York City, NY 10001"
161963,Apple Airpods Headphones,1,150,03/01/19 16:19,"67 Cherry St, Austin, TX 73301"
161964,USB-C Charging Cable,1,11.95,03/26/19 22:20,"64 9th St, Dallas, TX 75001"
161965,AA Batteries (4-pack),1,3.84,03/10/19 10:17,"793 9th St, Seattle, WA 98101"
161966,Apple Airpods Headphones,1,150,03/14/19 23:51,"491 9th St, Dallas, TX 75001"
161967,LG Dryer,1,600.0,03/30/19 16:40,"976 River St, Atlanta, GA 30301"
161968,AAA Batteries (4-pack),1,2.99,03/17/19 01:46,"798 Lakeview St, Portland, OR 97035"
161969,Lightning Charging Cable,1,14.95,03/21/19 21:42,"831 Maple St, Boston, MA 02215"
161970,AA Batteries (4-pack),1,3.84,03/18/19 18:59,"623 North St, Portland, OR 97035"
161971,USB-C Charging Cable,1,11.95,03/10/19 15:56,"488 8th St, Los Angeles, CA 90001"
161972,USB-C Charging Cable,1,11.95,03/13/19 14:11,"371 11th St, Seattle, WA 98101"
161973,27in FHD Monitor,1,149.99,03/31/19 22:01,"887 Hickory St, Austin, TX 73301"
