Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
264608,Wired Headphones,1,11.99,11/17/19 00:49,"482 4th St, Portland, OR 97035"
264609,20in Monitor,1,109.99,11/09/19 23:44,"932 Walnut St, New York City, NY 10001"
264610,iPhone,1,700.0,11/27/19 14:39,"337 Jackson St, San Francisco, CA 94016"
264611,USB-C Charging Cable,1,11.95,11/26/19 09:40,"896 1st St, San Francisco, CA 94016"
264612,AAA Batteries (4-pack),1,2.99,11/16/19 22:01,"868 Adams St, Dallas, TX 75001"
264613,27in FHD Monitor,1,149.99,11/01/19 19:01,"310 Forest St, Atlanta, GA 30301"
264614,Lightning Charging Cable,1,14.95,11/10/19 14:32,"373 Elm St, Los Angeles, CA 90001"
264615,USB-C Charging Cable,1,11.95,11/30/19 19:01,"3 9th St, San Francisco, CA 94016"
264616,34in Ultrawide Monitor,1,379.99,11/14/19 23:45,"63 North St, Dallas, TX 75001"
264617,Bose SoundSport Headphones,1,99.99,11/03/19 19:44,"508 9th St, San Francisco, CA 94016"
264618,20in Monitor,1,109.99,11/07/19 05:38,"862 Adams St, Boston, MA 02215"
264619,Lightning Charging Cable,1,14.95,11/06/19 00:25,"4 5th St, San Francisco, CA 94016"
264620,Lightning Charging Cable,1,14.95,11/29/19 13:21,"888 14th St, San Francisco, CA 94016"
264621,Wired Headphones,1,11.99,11/10/19 18:16,"207 Hill St, Seattle, WA 98101"
264622,Lightning Charging Cable,1,14.95,11/15/19 18:21,"435 14th St, San Francisco, CA 94016"
264623,Vareebadd Phone,1,400.0,11/17/19 19:48,"195 9th St, New York City, NY 10001"
264624,iPhone,1,700.0,11/07/19 19:02,"359 Jackson St, San Francisco, CA 94016"
264625,27in 4K Gaming Monitor,1,389.99,11/30/19 16:04,"332 11th St, Austin, TX 73301"
264626,27in FHD Monitor,1,149.99,11/03/19 14:40,"449 Willow St, New York City, NY 10001"
264627,AA Batteries (4-pack),1,3.84,11/07/19 00:04,"802 Cherry St, Austin, TX 73301"
264628,Lightning Charging Cable,1,14.95,11/09/19 11:54,"494 14th St, Austin, TX 73301"
264629,Bose SoundSport Headphones,1,99.99,11/08/19 18:22,"979 Washington St, Dallas, TX 75001"
264630,Wired Headphones,1,11.99,11/22/19 18:52,"114 Park St, Atlanta, GA 30301"
264631,AAA Batteries (4-pack),1,2.99,11/18/19 13:17,"555 Lincoln St, Portland, ME 04101"
264631,Bose SoundSport Headphones,1,99.99,11/18/19 13:17,"555 Lincoln St, Portland, ME 04101"
264632,Lightning Charging Cable,1,14.95,11/08/19 09:40,"639 Wilson St, Los Angeles, CA 90001"
264633,USB-C Charging Cable,1,11.95,11/24/19 07:27,"514 Sunset St, Atlanta, GA 30301"
264634,AA Batteries (4-pack),1,3.84,11/14/19 08:38,"121 9th St, Atlanta, GA 30301"
264635,AAA Batteries (4-pack),1,2.99,11/23/19 15:35,"306 Park St, Seattle, WA 98101"
264636,AA Batteries (4-pack),2,3.84,11/17/19 09:43,"781 Wilson St, Boston, MA 02215"
264637,Google Phone,1,600.0,11/17/19 19:33,"875 12th St, Atlanta, GA 30301"
264637,Wired Headphones,1,11.99,11/17/19 19:33,"875 12th St, Atlanta, GA 30301"
264638,AA Batteries (4-pack),1,3.84,11/08/19 10:48,"236 4th St, Seattle, WA 98101"
