Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
240124,Bose SoundSport Headphones,1,99.99,09/06/19 21:34,"34 Walnut St, New York City, NY 10001"
240125,USB-C Charging Cable,1,11.95,09/16/19 15:26,"342 9th St, New York City, NY 10001"
240125,27in FHD Monitor,1,149.99,09/16/19 15:26,"342 9th St, New York City, NY 10001"
240126,USB-C Charging Cable,1,11.95,09/14/19 00:12,"588 Walnut St, Seattle, WA 98101"
240127,AA Batteries (4-pack),1,3.84,09/18/19 08:26,"339 Ridge St, Los Angeles, CA 90001"
240128,Wired Headphones,1,11.99,09/06/19 12:21,"374 Lincoln St, Austin, TX 73301"
240129,Lightning Charging Cable,1,14.95,09/02/19 06:51,"575 Ridge St, San Francisco, CA 94016"
240130,Bose SoundSport Headphones,1,99.99,09/19/19 10:22,"353 Johnson St, Los Angeles, CA 90001"
240131,Lightning Charging Cable,1,14.95,09/28/19 20:27,"852 Walnut St, San Francisco, CA 94016"
240132,Wired Headphones,1,11.99,09/27/19 20:38,"92 Dogwood St, San Francisco, CA 94016"
240133,Macbook Pro Laptop,1,1700.0,09/27/19 17:46,"171 Ridge St, Los Angeles, CA 90001"
240134,Bose SoundSport Headphones,1,99.99,09/21/19 09:38,"321 Lakeview St, Atlanta, GA 30301"
240135,34in Ultrawide Monitor,1,379.99,09/04/19 18:34,"812 Ridge St, San Francisco, CA 94016"
240136,USB-C Charging Cable,1,11.95,09/16/19 07:50,"711 Main St, San Francisco, CA 94016"
240137,AA Batteries (4-pack),1,3.84,09/13/19 15:59,"613 Adams St, New York City, NY 10001"
240138,Apple Airpods Headphones,1,150.0,09/30/19 22:21,"210 Madison St, Seattle, WA 98101"
240139,27in FHD Monitor,1,149.99,09/29/19 08:41,"144 South St, Dallas, TX 75001"
240140,Wired Headphones,1,11.99,09/25/19 11:41,"145 Walnut St, Austin, TX 73301"
240141,USB-C Charging Cable,1,11.95,09/07/19 10:26,"73 Sunset St, Portland, OR 97035"
240142,27in FHD Monitor,1,149.99,09/04/19 23:55,"820 Dogwood St, Dallas, TX 75001"
240143,Bose SoundSport Headphones,1,99.99,09/25/19 19:45,"67 Hickory St, New York City, NY 10001"
240144,USB-C Charging Cable,1,11.95,09/01/19 22:30,"393 Sunset St, Portland, OR 97035"
240145,AAA Batteries (4-pack),2,2.99,09/25/19 10:16,"824 Cedar St, Portland, ME 04101"
240146,AA Batteries (4-pack),1,3.84,09/10/19 20:01,"49 West St, Los Angeles, CA 90001"
240147,Lightning Charging Cable,1,14.95,09/26/19 14:21,"355 Jackson St, Los Angeles, CA 90001"
240148,Apple Airpods Headphones,1,150.0,09/09/19 09:08,"672 8th St, Dallas, TX 75001"
240149,Apple Airpods Headphones,1,150.0,09/18/19 21:44,"868 Lakeview St, Los Angeles, CA 90001"
240150,iPhone,1,700.0,09/16/19 21:22,"170 Hickory St, Atlanta, GA 30301"
240151,USB-C Charging Cable,1,11.95,09/29/19 11:35,"26 Wilson St, Los Angeles, CA 90001"
240152,Google Phone,1,600.0,09/25/19 14:49,"17 Wilson St, Dallas, TX 75001"
240152,Lightning Charging Cable,1,14.95,09/25/19 14:49,"17 Wilson St, Dallas, TX 75001"
240153,Macbook Pro Laptop,1,1700.0,09/25/19 13:14,"307 Pine St, San Francisco, CA 94016"
240154,iPhone,1,700.0,09/23/19 14:01,"913 4th St, San Francisco, CA 94016"
240155,AAA Batteries (4-pack),3,2.99,09/10/19 10:14,"855 North St, Los Angeles, CA 90001"
240156,Macbook Pro Laptop,1,1700.0,09/04/19 20:15,"258 Forest St, Seattle, WA 98101"
240157,34in Ultrawide Monitor,1,379.99,09/01/19 14:04,"17 Ridge St, San Francisco, CA 94016"
240158,iPhone,1,700.0,09/12/19 16:47,"765 River St, San Francisco, CA 94016"
240159,AA Batteries (4-pack),1,3.84,09/29/19 12:27,"353 Ridge St, San Francisco, CA 94016"
240160,AAA Batteries (4-pack),1,2.99,09/01/19 15:10,"110 Spruce St, Portland, ME 04101"
240161,Bose SoundSport Headphones,1,99.99,09/02/19 17:21,"929 Maple St, Boston, MA 02215"
240162,USB-C Charging Cable,1,11.95,09/16/19 18:29,"280 12th St, Seattle, WA 98101"
240163,USB-C Charging Cable,1,11.95,09/06/19 09:03,"434 10th St, San Francisco, CA 94016"
240164,ThinkPad Laptop,1,999.99,09/17/19 15:12,"171 6th St, San Francisco, CA 94016"
240165,Lightning Charging Cable,1,14.95,09/09/19 08:59,"389 11th St, Seattle, WA 98101"
240166,USB-C Charging Cable,1,11.95,09/05/19 20:33,"202 14th St, Boston, MA 02215"
240167,iPhone,1,700.0,09/02/19 10:29,"272 Church St, Los Angeles, CA 90001"
240167,Wired Headphones,1,11.99,09/02/19 10:29,"272 Church St, Los Angeles, CA 90001"
240168,USB-C Charging Cable,1,11.95,09/21/19 14:50,"730 1st St, Seattle, WA 98101"
240169,34in Ultrawide Monitor,1,379.99,09/13/19 18:39,"71 Dogwood St, Los Angeles, CA 90001"
240170,Lightning Charging Cable,1,14.95,09/15/19 12:50,"183 6th St, San Francisco, CA 94016"
240171,Wired Headphones,1,11.99,09/19/19 12:03,"952 South St, Seattle, WA 98101"
240172,ThinkPad Laptop,1,999.99,09/08/19 09:41,"869 Maple St, New York City, NY 10001"
240173,LG Washing Machine,1,600.0,09/08/19 21:29,"124 2nd St, Austin, TX 73301"
240174,Apple Airpods Headphones,1,150.0,09/18/19 16:31,"582 Wilson St, Boston, MA 02215"
240175,Bose SoundSport Headphones,1,99.99,09/06/19 16:27,"158 7th St, Portland, OR 97035"
240176,Wired Headphones,1,11.99,09/30/19 12:30,"645 Spruce St, San Francisco, CA 94016"
240177,Google Phone,1,600.0,09/12/19 06:08,"624 Spruce St, Atlanta, GA 30301"
240178,USB-C Charging Cable,2,11.95,09/12/19 15:08,"971 Dogwood St, Boston, MA 02215"
240179,34in Ultrawide Monitor,1,379.99,09/05/19 15:32,"984 Highland St, Portland, OR 97035"
240180,USB-C Charging Cable,1,11.95,09/05/19 14:56,"980 Jefferson St, Los Angeles, CA 90001"
240181,iPhone,1,700.0,09/22/19 16:53,"535 Lincoln St, Austin, TX 73301"
240182,Lightning Charging Cable,1,14.95,09/24/19 14:01,"391 Adams St, San Francisco, CA 94016"
240183,Lightning Charging Cable,2,14.95,09/01/19 21:35,"375 Highland St, Boston, MA 02215"
240184,Apple Airpods Headphones,1,150.0,09/18/19 15:06,"558 10th St, Boston, MA 02215"
240185,AA Batteries (4-pack),2,3.84,09/20/19 17:37,"842 12th St, New York City, NY 10001"
